  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0018                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  21.500   1.2673   0.11987   0.11605   0.0124   0.0338   1.0000
  22.000   1.2529   0.12916   0.12551   0.0077   0.0332   1.0000
  22.500   1.2389   0.13853   0.13502   0.0026   0.0323   1.0000
  23.000   1.2271   0.14772   0.14432  -0.0028   0.0314   1.0000
  23.500   1.2174   0.15650   0.15316  -0.0083   0.0305   1.0000
  24.000   1.2132   0.16452   0.16128  -0.0136   0.0297   1.0000
  24.500   1.2086   0.17279   0.16968  -0.0193   0.0289   1.0000
  25.000   1.2053   0.18090   0.17788  -0.0253   0.0281   1.0000
  25.500   1.2042   0.18852   0.18555  -0.0311   0.0273   1.0000
  26.000   1.2083   0.19500   0.19207  -0.0363   0.0264   1.0000
  26.500   1.2010   0.20421   0.20143  -0.0436   0.0257   1.0000
  27.000   1.1986   0.21240   0.20972  -0.0504   0.0249   1.0000
  27.500   1.2000   0.21975   0.21713  -0.0567   0.0241   1.0000
  28.000   1.2129   0.22424   0.22160  -0.0613   0.0233   1.0000
  28.500   1.1832   0.23928   0.23691  -0.0733   0.0225   1.0000
  29.000   1.1600   0.25322   0.25101  -0.0846   0.0212   1.0000
  29.500   1.1760   0.25681   0.25457  -0.0889   0.0206   1.0000
  31.500   1.0581   0.34840   0.34657  -0.1450   0.0112   1.0000
  32.000   1.0717   0.35215   0.35033  -0.1500   0.0108   1.0000
  32.500   1.0852   0.35515   0.35333  -0.1548   0.0106   1.0000
  33.000   1.0990   0.35746   0.35566  -0.1591   0.0105   1.0000
  33.500   1.1077   0.36791   0.36613  -0.1668   0.0090   1.0000
  34.000   1.1199   0.37127   0.36949  -0.1719   0.0088   1.0000
  34.500   1.1319   0.37396   0.37219  -0.1769   0.0086   1.0000
  35.000   1.1438   0.37607   0.37432  -0.1813   0.0085   1.0000
  36.500   0.6420   0.35079   0.34948  -0.0932   0.0056   1.0000
  37.000   0.6459   0.35406   0.35276  -0.0961   0.0053   1.0000
  37.500   0.6499   0.35674   0.35546  -0.0989   0.0052   1.0000
  38.000   0.6488   0.36640   0.36514  -0.1015   0.0045   1.0000
  38.500   0.6514   0.37025   0.36900  -0.1043   0.0041   1.0000
  39.000   0.6541   0.37321   0.37198  -0.1073   0.0039   1.0000
  40.000   0.6554   0.38535   0.38415  -0.1125   0.0033   1.0000
  40.500   0.6569   0.38895   0.38777  -0.1154   0.0030   1.0000
  41.000   0.6585   0.39162   0.39045  -0.1183   0.0028   1.0000
  41.500   0.6601   0.39367   0.39252  -0.1211   0.0027   1.0000
  42.000   0.6582   0.40310   0.40197  -0.1234   0.0023   1.0000
  42.500   0.6587   0.40661   0.40549  -0.1262   0.0020   1.0000
  43.000   0.6591   0.40910   0.40800  -0.1291   0.0019   1.0000
  43.500   0.6595   0.41084   0.40975  -0.1320   0.0018   1.0000
  44.000   0.6574   0.41921   0.41815  -0.1341   0.0016   1.0000
  44.500   0.6568   0.42266   0.42162  -0.1368   0.0013   1.0000
  45.000   0.6561   0.42511   0.42408  -0.1396   0.0012   1.0000
  45.500   0.6554   0.42661   0.42560  -0.1424   0.0011   1.0000
  46.000   0.6533   0.43182   0.43082  -0.1448   0.0010   1.0000
  46.500   0.6515   0.43675   0.43576  -0.1471   0.0008   1.0000
  47.000   0.6498   0.43913   0.43816  -0.1498   0.0006   1.0000
  47.500   0.6480   0.44057   0.43962  -0.1525   0.0006   1.0000
  48.000   0.6460   0.44112   0.44019  -0.1554   0.0005   1.0000
  48.500   0.6428   0.44833   0.44742  -0.1572   0.0004   1.0000
  49.000   0.6401   0.45074   0.44984  -0.1597   0.0003   1.0000
  49.500   0.6374   0.45214   0.45126  -0.1623   0.0002   1.0000
  50.000   0.6346   0.45257   0.45170  -0.1650   0.0002   1.0000
  50.500   0.6311   0.45480   0.45394  -0.1675   0.0002   1.0000
  51.000   0.6274   0.45963   0.45880  -0.1694   0.0001   1.0000
  51.500   0.6238   0.46092   0.46010  -0.1718   0.0001   1.0000
  52.000   0.6201   0.46132   0.46051  -0.1744   0.0000   1.0000
  52.500   0.6162   0.46067   0.45988  -0.1770   0.0000   1.0000
  53.000   0.6117   0.46481   0.46404  -0.1789   0.0000   1.0000
  53.500   0.6073   0.46676   0.46600  -0.1810   0.0000   1.0000
  54.000   0.6029   0.46702   0.46627  -0.1833   0.0000   1.0000
  54.500   0.5983   0.46636   0.46563  -0.1858   0.0000   1.0000
  55.000   0.5935   0.46474   0.46403  -0.1883   0.0000   1.0000
  55.500   0.5882   0.46921   0.46851  -0.1899   0.0000   1.0000
  56.000   0.5830   0.46972   0.46904  -0.1919   0.0001   1.0000
  56.500   0.5777   0.46906   0.46839  -0.1942   0.0001   1.0000
  57.000   0.5724   0.46741   0.46675  -0.1965   0.0002   1.0000
  57.500   0.5668   0.46495   0.46431  -0.1989   0.0002   1.0000
  58.000   0.5608   0.46876   0.46813  -0.2002   0.0002   1.0000
  58.500   0.5549   0.46845   0.46784  -0.2022   0.0003   1.0000
  59.000   0.5490   0.46691   0.46631  -0.2043   0.0004   1.0000
  59.500   0.5429   0.46448   0.46389  -0.2064   0.0005   1.0000
  60.000   0.5366   0.46128   0.46071  -0.2087   0.0005   1.0000
  60.500   0.5301   0.46391   0.46335  -0.2099   0.0006   1.0000
  61.000   0.5237   0.46307   0.46252  -0.2117   0.0008   1.0000
  61.500   0.5171   0.46073   0.46020  -0.2136   0.0009   1.0000
  62.000   0.5104   0.45764   0.45711  -0.2156   0.0010   1.0000
  62.500   0.5036   0.45373   0.45322  -0.2176   0.0011   1.0000
  63.000   0.4966   0.45481   0.45432  -0.2188   0.0011   1.0000
  63.500   0.4896   0.45363   0.45315  -0.2203   0.0014   1.0000
  64.000   0.4826   0.45071   0.45024  -0.2221   0.0016   1.0000
  64.500   0.4755   0.44700   0.44654  -0.2239   0.0017   1.0000
  65.000   0.4683   0.44253   0.44208  -0.2258   0.0018   1.0000
  65.500   0.4609   0.44193   0.44149  -0.2270   0.0018   1.0000
  66.000   0.4535   0.44060   0.44017  -0.2282   0.0021   1.0000
  66.500   0.4461   0.43713   0.43671  -0.2297   0.0024   1.0000
  67.000   0.4387   0.43289   0.43249  -0.2313   0.0026   1.0000
  67.500   0.4312   0.42789   0.42749  -0.2330   0.0027   1.0000
  68.000   0.4234   0.42587   0.42548  -0.2342   0.0028   1.0000
  68.500   0.4157   0.42436   0.42399  -0.2352   0.0031   1.0000
  69.000   0.4081   0.42041   0.42004  -0.2365   0.0034   1.0000
  69.500   0.4004   0.41569   0.41533  -0.2380   0.0037   1.0000
  70.000   0.3927   0.41024   0.40989  -0.2394   0.0038   1.0000
  70.500   0.3848   0.40740   0.40706  -0.2405   0.0039   1.0000
  71.000   0.3769   0.40544   0.40511  -0.2413   0.0042   1.0000
  71.500   0.3691   0.40106   0.40073  -0.2425   0.0047   1.0000
  72.000   0.3613   0.39592   0.39561  -0.2437   0.0050   1.0000
  72.500   0.3535   0.39013   0.38982  -0.2450   0.0051   1.0000
  73.000   0.3455   0.38690   0.38660  -0.2459   0.0053   1.0000
  73.500   0.3374   0.38439   0.38410  -0.2465   0.0057   1.0000
  74.000   0.3296   0.37963   0.37935  -0.2475   0.0062   1.0000
  74.500   0.3218   0.37406   0.37379  -0.2486   0.0065   1.0000
  75.000   0.3141   0.36783   0.36756  -0.2497   0.0067   1.0000
  75.500   0.3059   0.36508   0.36482  -0.2503   0.0068   1.0000
  76.000   0.2979   0.36179   0.36153  -0.2508   0.0074   1.0000
  76.500   0.2901   0.35651   0.35626  -0.2517   0.0080   1.0000
  77.000   0.2824   0.35061   0.35037  -0.2525   0.0083   1.0000
  77.500   0.2748   0.34416   0.34392  -0.2535   0.0085   1.0000
  78.000   0.2665   0.34244   0.34221  -0.2537   0.0087   1.0000
  78.500   0.2587   0.33802   0.33779  -0.2542   0.0095   1.0000
  79.000   0.2511   0.33237   0.33215  -0.2549   0.0100   1.0000
  79.500   0.2436   0.32622   0.32600  -0.2556   0.0103   1.0000
  80.000   0.2360   0.32082   0.32061  -0.2562   0.0105   1.0000
  80.500   0.2278   0.31878   0.31858  -0.2562   0.0111   1.0000
  81.000   0.2203   0.31350   0.31329  -0.2567   0.0119   1.0000
  81.500   0.2130   0.30756   0.30736  -0.2572   0.0123   1.0000
  82.000   0.2058   0.30115   0.30095  -0.2577   0.0125   1.0000
  82.500   0.1977   0.29876   0.29856  -0.2577   0.0129   1.0000
  83.000   0.1902   0.29427   0.29408  -0.2579   0.0139   1.0000
  83.500   0.1830   0.28857   0.28838  -0.2582   0.0145   1.0000
  84.000   0.1761   0.28240   0.28222  -0.2585   0.0148   1.0000
  84.500   0.1688   0.27770   0.27751  -0.2586   0.0150   1.0000
  85.000   0.1610   0.27489   0.27471  -0.2584   0.0161   1.0000
  85.500   0.1541   0.26943   0.26925  -0.2585   0.0168   1.0000
  86.000   0.1474   0.26347   0.26329  -0.2587   0.0173   1.0000
  86.500   0.1410   0.25711   0.25693  -0.2588   0.0175   1.0000
  87.000   0.1328   0.25566   0.25548  -0.2583   0.0185   1.0000
  87.500   0.1262   0.25055   0.25038  -0.2583   0.0195   1.0000
  88.000   0.1199   0.24492   0.24475  -0.2582   0.0200   1.0000
  88.500   0.1139   0.23894   0.23876  -0.2582   0.0203   1.0000
  89.000   0.1058   0.23652   0.23635  -0.2573   0.0211   1.0000
  89.500   0.0989   0.22816   0.22798  -0.2553   0.0223   1.0000
  90.000   0.0917   0.21565   0.21547  -0.2515   0.0229   1.0000
  90.500   0.0898   0.23545   0.23528  -0.2626   0.0232   1.0000
  91.000   0.0584   0.09195   0.09176  -0.1824   0.0259   1.0000
  91.500   0.0707   0.18863   0.18845  -0.2431   0.0254   1.0000
